record_id,source_id,source_type,title,authors_or_organization,publication_year,publication_date,outlet_or_journal,country,region_city_watershed,geographic_coordinates_if_available,brewery_or_actor,affected_group,conflict_type,injustice_type,environmental_mechanism,water_issue,racism_or_discrimination_dimension,supply_chain_stage,evidence_summary,short_supporting_excerpt,methods_or_evidence_type,outcome_or_status,legal_or_policy_response,severity_level,confidence_level,doi,source_url,pdf_or_capture_path,full_text_access_status,download_status,abstract_available,abstract_used_for_coding,full_text_needed,full_text_request_note,access_date,notes,original_language,original_title,english_title,original_supporting_excerpt,english_supporting_excerpt,translation_note
A004,ARTICLE_2021_MX_resistencias-cervecera-mexicali_A004,scholarly_article,The United Resistance Movement against the transnational brewer Constellation Brands in Mexicali,Campos en Ciencias Sociales article metadata,2021,2021,Campos en Ciencias Sociales,Mexico,"Mexicali, Baja California",,Constellation Brands; Resistencias Unidas; public consultation authorities,Mexicali residents and farmers,water_extraction_or_competition,procedural_injustice,water_use,Concern that brewery development would appropriate scarce water resources,unclear,industrial brewery construction / policy conflict,"Spanish scholarly metadata reports that a March 2020 public consultation on whether to continue the Constellation Brands brewery resulted in a 76% vote against the brewery, documenting organized resistance to the project.",The No option won with a striking 76% of the votes.,Spanish scholarly article metadata/abstract snippet,Public consultation rejected continuation according to visible metadata,Public consultation on brewery continuation,high,medium,,https://revistas.usantotomas.edu.co/index.php/campos/article/view/7665,sources/metadata_only/ARTICLE_2021_MX_resistencias-cervecera-mexicali_A004.md,abstract_only,metadata_only_full_text_needed,unknown,yes,yes,Full text needed for confirmation.,2026-06-26,Spanish scholarly record; full text not downloaded. Coding uses visible metadata/snippet and needs full-text confirmation.,Spanish,El movimiento de las resistencias unidas contra la cervecera transnacional Constellation Brands en Mexicali,The United Resistance Movement against the transnational brewer Constellation Brands in Mexicali,El No obtuvo el triunfo con un sorprendente 76 % de los votos.,The No option won with a striking 76% of the votes.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N006,NEWS_2024_AR_ogham-bariloche-noise_N006,news,Long-time Bariloche resident denounces health harms from noise at a brewery without adequate authorization,Bache3000,2024,2024,Bache3000,Argentina,"San Carlos de Bariloche, Río Negro",,Cervecería Ogham,Nearby residents; complainant Adrián Dannemann,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,craft brewery/taproom nightlife operations,"Spanish-language local reporting describes a resident complaint against Cervecería Ogham, alleging excessive noise, disco-like operation, inadequate authorizations, and municipal inaction affecting residents’ right to rest.",It exposes a conflict between commercial development and neighbors’ right to rest.,Spanish local news with resident complaint and municipal response,Complaint publicized; legal or administrative resolution unclear,Municipal licensing/noise enforcement context,moderate,medium,,https://baribache3000.com.ar/nota/1359/vecino-historico-de-bariloche-denuncia-danos-a-la-salud-por-ruidos-de-cerveceria-sin-habilitacion-adecuada/,sources/news/NEWS_2024_AR_ogham-bariloche-noise_N006.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Spanish-language craft brewery noise source; original title/excerpt and English equivalent included.,Spanish,Vecino histórico de Bariloche denuncia daños a la salud por ruidos de cervecería sin habilitación adecuada,Long-time Bariloche resident denounces health harms from noise at a brewery without adequate authorization,Expone un conflicto entre el desarrollo comercial y el derecho al descanso de los vecinos.,It exposes a conflict between commercial development and neighbors’ right to rest.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N007,NEWS_2017_AR_boom-cervecerias-ruidos_N007,news,The other side of the brewery boom: complaints about nuisance noise grow,Clarín,2017,2017,Clarín,Argentina,"Buenos Aires, Argentina",,Craft beer bars/breweries in brewery boom,Urban neighbors near breweries/bars,odor_noise_or_traffic,unclear_or_not_applicable,noise,not applicable,unclear,craft brewery/taproom nightlife operations,"Spanish-language reporting describes resident complaints associated with the craft-brewery boom, including nuisance noise, sidewalk occupation, wall vibrations, and odors.","Nuisance noise, sidewalk occupation, vibrations in party walls, and bad odors are some of the reasons.",Spanish news snippet/reporting on urban brewery complaints,Complaints increasing; detailed resolutions unclear,Municipal nightlife/noise and public-space enforcement context,moderate,low,,https://www.clarin.com/ciudades/cara-boom-cervecerias-crecen-quejas-ruidos-molestos_0_HJnVTnkIz.html,sources/news/NEWS_2017_AR_boom-cervecerias-ruidos_N007.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Spanish-language craft brewery source; limited snippet access lowers confidence.,Spanish,La otra cara del boom de las cervecerías: crecen las quejas por ruidos molestos,The other side of the brewery boom: complaints about nuisance noise grow,"Ruidos molestos, ocupación de la vereda, vibraciones en las medianeras y malos olores son algunos de los motivos.","Nuisance noise, sidewalk occupation, vibrations in party walls, and bad odors are some of the reasons.",Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N008,NEWS_2022_BR_delta-porto-alegre-noise_N008,news,Residents and brewery in the 4th District enter into conflict,Jornal do Comércio,2022,2022-05,Jornal do Comércio,Brazil,"4º Distrito, Navegantes, Porto Alegre, Rio Grande do Sul",,Cervejaria Delta,Residents around the brewery,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,craft brewery/nightlife operations,"Portuguese-language reporting describes a court conflict between residents and Cervejaria Delta in Porto Alegre’s 4th District, alleging parties exceeded tolerable sound limits and affected neighbors’ lives despite operating-license restrictions.",A case involving the neighborhood’s relationship with Cervejaria Delta is in court.,Portuguese local news with court-conflict details,Case reported as in court; resolution unclear,Operating-license and municipal noise enforcement context,moderate,medium,,https://www.jornaldocomercio.com/_conteudo/colunas/pensar_a_cidade/2022/05/846355-moradores-e-cervejaria-no-4-distrito-entram-em-conflito.html,sources/news/NEWS_2022_BR_delta-porto-alegre-noise_N008.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Portuguese-language craft brewery noise/legal conflict source with original and English equivalent.,Portuguese,Moradores e cervejaria no 4º Distrito entram em conflito,Residents and brewery in the 4th District enter into conflict,Está na Justiça um caso envolvendo a relação da vizinhança com a Cervejaria Delta.,A case involving the neighborhood’s relationship with Cervejaria Delta is in court.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N009,NEWS_2020_BR_belorizontina-contaminacao_N009,news,Ministry confirms water contamination in beer production,Agência Brasil,2020,2020-01-16,Agência Brasil,Brazil,"Belo Horizonte, Minas Gerais",,Cervejaria Backer; Belorizontina craft beer,Consumers and public health authorities,public_health,unclear_or_not_applicable,chemical_contamination,Contaminated water used in craft beer production according to ministry report,unclear,craft beer manufacturing / product safety,"Portuguese-language public news reports that Brazil’s Ministry of Agriculture confirmed contamination in water used to produce Belorizontina craft beers, with ethylene glycol-related substances linked to deaths and illness in the Backer case.",The ministry confirmed contamination of the water used in beer production.,Portuguese public news/official-ministry reporting,Government confirmation; product/public-health investigation ongoing at time of source,Food safety and Ministry of Agriculture investigation,severe,high,,https://agenciabrasil.ebc.com.br/geral/noticia/2020-01/ministerio-confirma-contaminacao-da-agua-na-producao-de-cervejas,sources/news/NEWS_2020_BR_belorizontina-contaminacao_N009.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Portuguese-language craft beer contamination source with original and English equivalent.,Portuguese,Ministério confirma contaminação da água na produção de cervejas,Ministry confirms water contamination in beer production,O ministério confirmou a contaminação da água usada na produção das cervejas.,The ministry confirmed contamination of the water used in beer production.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
R003,REPORT_2024_FR_microbrasseries-eau-effluents_R003,government_record,Managing water and effluents in microbreweries,ENILEA / Projet Beer EAU Effluent Brasserie,2024,2024-03,ENILEA methodological guide,France,France; microbreweries under 1000 hL/year,,Microbrasseries,Water systems and communities near small breweries,wastewater_or_effluent,unclear_or_not_applicable,effluent_treatment,Microbrewery water consumption and effluent discharge management,unclear,microbrewery production/wastewater management,"French methodological guidance focuses on water consumption and brewery discharges for small breweries. It is contextual rather than a single conflict case, but it supports coding of wastewater and effluent mechanisms in microbrewery settings.",The project examines water consumption and discharges from breweries with production capacity under 1000 hL per year.,French technical/methodological guidance,Guidance record; not a dispute resolution,Water and effluent management for microbreweries,low,medium,,https://enilea.fr/uploads/2024/03/GUIDE-METHODOLOGIQUE-Projet_beer_EAU_EFFLUENT_BRASSERIE_ENIL.pdf,sources/reports/REPORT_2024_FR_microbrasseries-eau-effluents_R003.md,unknown,metadata_only_full_text_needed,no,no,yes,Full text needed for confirmation.,2026-06-26,"French microbrewery water/effluent guide; PDF URL identified, represented as metadata/evidence record for review.",French,Maîtrise de l’eau et des effluents dans les microbrasseries,Managing water and effluents in microbreweries,Le projet s’intéresse aux consommations d’eau et aux rejets des brasseries dont la capacité de production est inférieure à 1000 hL par an.,The project examines water consumption and discharges from breweries with production capacity under 1000 hL per year.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
R004,REPORT_2023_FR_biere-impact-eau_R004,industry_report,Water consumption and transport: how to improve the beer industry’s environmental impact?,Sowefund blog,2023,2023,Sowefund,France,France / beer industry context,,Beer industry generally,Water systems and environmental stakeholders,climate_energy_or_emissions,unclear_or_not_applicable,water_use,General water-use intensity of beer production,unclear,beer production and transport,French contextual source discusses water consumption and broader environmental impacts of beer production and transport. It is not a conflict case but helps contextualize water-use mechanisms.,"On average, 5 liters of water are needed to produce 1 liter of beer.",French public-facing environmental analysis,Contextual sustainability discussion,Industry sustainability/water-use context,low,low,,https://blog.sowefund.com/consommation-deau-et-transports-comment-ameliorer-limpact-qua-lindustrie-de-la-biere-sur-lenvironnement/,sources/reports/REPORT_2023_FR_biere-impact-eau_R004.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,"French contextual source; not a specific conflict case, included to broaden language coverage on beer water-use mechanisms.",French,Consommation d’eau et transports : comment améliorer l’impact qu’a l’industrie de la bière sur l’environnement ?,Water consumption and transport: how to improve the beer industry’s environmental impact?,"En moyenne, il faut 5 litres d’eau pour produire 1 litre de bière.","On average, 5 liters of water are needed to produce 1 liter of beer.",Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N010,NEWS_2019_NL_davo-brouwerij-overlast_N010,news,Local residents are completely fed up with nuisance from the DAVO brewery-pub,Salland1,2019,2019,Salland1,Netherlands,"Raambuurt and Pothoofd, Deventer",,DAVO Bieren brewery-pub,Approximately fifty nearby residents,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,craft brewery-pub/nightlife operations,"Dutch local reporting describes approximately fifty residents asking the municipal council to stop nuisance from DAVO Bieren, including noise from intoxicated guests and barbecue odors.",About fifty residents of Deventer’s Raambuurt and Pothoofd want nuisance from the DAVO Bieren brewery-pub to stop.,Dutch local news report,Residents wrote to municipal council; outcome unclear,Municipal nuisance/noise and odor enforcement context,moderate,medium,,https://www.salland1.nl/omwonenden-zijn-overlast-van-de-davo-brouwerij-pub-helemaal-zat/,sources/news/NEWS_2019_NL_davo-brouwerij-overlast_N010.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Dutch craft brewery-pub nuisance source with original and English equivalent.,Dutch,Omwonenden zijn overlast van de DAVO brouwerij-pub helemaal zat,Local residents are completely fed up with nuisance from the DAVO brewery-pub,Ongeveer vijftig bewoners van de Deventer Raambuurt en het Pothoofd willen dat de overlast van de brouwerij-pub DAVO Bieren stopt.,About fifty residents of Deventer’s Raambuurt and Pothoofd want nuisance from the DAVO Bieren brewery-pub to stop.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
L001,LEGAL_2021_NL_biercafe-geluidsoverlast_L001,legal_case,Decision 202007160/1/A3 - beer café operating permit and noise nuisance,Raad van State,2021,2021,Raad van State,Netherlands,Netherlands; beer café locality not coded,,Beer café operator; mayor; nearby residents,Nearby residents,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,beer café / hospitality operations,Dutch administrative-law decision records that nearby residents submitted objections to an operating permit because of noise nuisance and pressure on the residential living environment.,Nearby residents of the beer café submitted views on the requested operating permit because of noise nuisance.,Dutch administrative legal decision,Operating permit granted with conditions according to visible record,Operating permit and residential living-environment conditions,moderate,high,,https://www.raadvanstate.nl/%40127557/202007160-1-a3/,sources/legal_policy/LEGAL_2021_NL_biercafe-geluidsoverlast_L001.md,open_access,html_saved,no,no,no,,2026-06-26,Dutch legal/policy source; HTML decision represented as metadata Markdown with original and English excerpt.,Dutch,Uitspraak 202007160/1/A3 - exploitatievergunning biercafé en geluidsoverlast,Decision 202007160/1/A3 - beer café operating permit and noise nuisance,"Omwonenden van het biercafé hebben zienswijzen over de aangevraagde exploitatievergunning naar voren gebracht, vanwege de geluidsoverlast.",Nearby residents of the beer café submitted views on the requested operating permit because of noise nuisance.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
R005,REPORT_2024_BE_vlarem-microbrouwerijen-afvalwater_R005,government_record,Classification of wastewater from (micro)breweries - VLAREM section 3.4,Vlaanderen Omgeving,2024,2024,Vlaanderen Omgeving,Belgium,Flanders,,Microbreweries,"Wastewater regulators, receiving waters, nearby communities",wastewater_or_effluent,unclear_or_not_applicable,wastewater_discharge,Microbrewery wastewater classified as industrial wastewater,unclear,microbrewery wastewater management,Dutch/Flemish regulatory guidance states that wastewater from microbreweries is considered industrial wastewater and is not similar in composition to domestic wastewater.,Wastewater from (micro)breweries is considered industrial wastewater.,Flemish government regulatory guidance,Regulatory classification; not a specific dispute,VLAREM wastewater classification for microbreweries,low,high,,https://omgeving.vlaanderen.be/nl/indeling-afvalwater-microbrouwerijen-vlarem-rubriek-34,sources/reports/REPORT_2024_BE_vlarem-microbrouwerijen-afvalwater_R005.md,open_access,html_saved,no,no,no,,2026-06-26,Dutch-language Flemish regulatory source for microbrewery wastewater classification.,Dutch,Indeling afvalwater (micro)brouwerijen - VLAREM rubriek 3.4,Classification of wastewater from (micro)breweries - VLAREM section 3.4,Het afvalwater van (micro)brouwerijen wordt beschouwd als bedrijfsafvalwater.,Wastewater from (micro)breweries is considered industrial wastewater.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
N011,NEWS_2026_DE_bier-aus-klaeranlage_N011,news,Beer of the future with water from the wastewater treatment plant?,Rüdiger Kronthaler / BR24,2026,2026-05-19,BR24,Germany,Bavaria,,Reuse Brew / water-reuse researchers and brewers,Water users in drought-affected Bavaria; public consumers,water_extraction_or_competition,unclear_or_not_applicable,water_use,Recycled wastewater considered in response to declining groundwater and shrinking lakes,unclear,brewing water innovation / drought adaptation,"German reporting discusses beer brewed with highly treated wastewater as Bavaria faces declining groundwater and shrinking lakes. This is framed as adaptation rather than a conflict case, but it contextualizes water-scarcity pressures on brewing.",Declining groundwater and shrinking lakes: Bavaria must rethink water.,German news report on water reuse and beer,Innovation/contextual adaptation discussion,Water reuse and drought-adaptation context,low,medium,,https://www.br.de/nachrichten/bayern/ressource-wasser-wird-das-bier-der-zukunft-aus-urin-gebraut%2CVJh74eO,sources/news/NEWS_2026_DE_bier-aus-klaeranlage_N011.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,"German-language water reuse source; not a dispute, included for drought/water-pressure context.",German,Bier der Zukunft mit Wasser aus der Kläranlage?,Beer of the future with water from the wastewater treatment plant?,Sinkendes Grundwasser und schrumpfende Seen: Bayern muss Wasser neu denken.,Declining groundwater and shrinking lakes: Bavaria must rethink water.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
R006,REPORT_2019_IT_effluenti-industria-birra_R006,industry_report,Treatment of effluents in the beer industry and valorization of liquid residues,Condorchem Envitech,2019,2019,Condorchem Envitech,Italy,Italy / beer industry context,,Beer industry generally,Receiving waters and wastewater treatment systems,wastewater_or_effluent,unclear_or_not_applicable,effluent_treatment,Water consumption and effluent pollution in the brewing industry,unclear,beer production wastewater management,"Italian technical source discusses wastewater treatment and liquid-residue management in the beer industry. It is contextual, not a specific conflict case, but helps broaden non-English evidence on effluent mechanisms.",Wastewater treatment through biological processes in the beer industry.,Italian technical/industry source,Contextual wastewater treatment guidance,Wastewater treatment and residue management context,low,medium,,https://condorchem.com/it/blog/trattamento-degli-effluenti-nell-industria-della-birra-e-valorizzazione-dei-suoi-residui-liquidi/,sources/reports/REPORT_2019_IT_effluenti-industria-birra_R006.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Italian contextual wastewater source; not a specific conflict case.,Italian,Trattamento degli effluenti nell’industria della birra e valorizzazione dei suoi residui liquidi,Treatment of effluents in the beer industry and valorization of liquid residues,Trattamento delle acque reflue mediante processi biologici nell’industria della birra.,Wastewater treatment through biological processes in the beer industry.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
R007,REPORT_2025_IT_molestia-movida-rumore_R007,legal_case,Noise. Nightlife and acoustic pollution: uncertainty in the Court of Cassation,Lexambiente,2025,2025,Lexambiente,Italy,Italy / urban nightlife context,,Nightlife venues generally; relevant to beer pubs and craft beer venues,Urban residents exposed to nightlife noise,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,beer/pub/nightlife operations context,"Italian legal commentary discusses nightlife noise as an environmental-health issue. It is not brewery-specific, so coding is contextual and lower confidence, but it supports comparison with craft brewery and beer-pub noise disputes.",Acoustic pollution does not mean only annoyance and disturbance.,Italian legal/environmental commentary,Legal-context discussion; not a brewery case,"Nightlife noise, environmental health, and municipal/legal response context",low,low,,https://www.lexambiente.com/index.php/materie/rumore/dottrina180/rumore-movida-e-inquinamento-acustico-lincertezza-della-cassazione,sources/legal_policy/REPORT_2025_IT_molestia-movida-rumore_R007.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,"Italian contextual nightlife-noise legal source; included cautiously for beer-pub/craft-venue comparison, not as a brewery-specific case.",Italian,Rumore. Movida e inquinamento acustico: l’incertezza della Cassazione,Noise. Nightlife and acoustic pollution: uncertainty in the Court of Cassation,L’inquinamento acustico non significa solo molestia e disturbo.,Acoustic pollution does not mean only annoyance and disturbance.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
